city,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
Kyiv,2022-09-06,17.7,4.6,11.5,17.7,4.6,11.5,1.8,55.3,0.0,0.0,0.0,0.0,0.0,24.5,9.7,267.0,1022.3,34.8,24.1,227.5,19.6,7.0,Partially cloudy
Sundsvall,2022-09-06,13.0,3.0,8.6,13.0,0.1,7.4,5.5,81.8,0.0,0.0,0.0,0.0,0.0,31.0,14.3,192.9,1024.1,90.8,15.3,116.1,10.1,5.0,Overcast
Stockholm,2022-09-06,15.9,7.8,12.0,15.9,7.1,11.8,7.0,73.6,0.0,0.0,0.0,0.0,0.0,25.2,13.0,70.7,1022.0,59.5,15.3,132.5,11.6,5.0,Partially cloudy
Malmo,2022-09-06,20.6,12.4,15.9,20.6,12.4,15.9,9.3,66.6,0.0,4.8,0.0,0.0,0.0,44.6,23.7,97.9,1018.4,69.0,15.2,157.3,13.7,5.0,Partially cloudy
Stockholm,2022-09-07,15.9,7.8,12.0,15.9,7.1,11.8,7.0,73.5,0.0,0.0,0.0,0.0,0.0,25.2,13.0,69.9,1022.0,57.5,14.7,142.5,12.5,5.0,Partially cloudy
Kyiv,2022-09-07,17.7,4.6,11.5,17.7,4.6,11.5,1.8,55.3,0.0,0.0,0.0,0.0,0.0,24.5,9.7,267.0,1022.3,34.8,24.1,227.5,19.6,7.0,Partially cloudy
Malmo,2022-09-07,20.2,12.4,15.8,20.2,12.4,15.8,9.3,66.6,0.0,4.8,0.0,0.0,0.0,44.6,25.6,97.9,1018.4,67.2,14.6,168.5,14.6,6.0,Partially cloudy
Sundsvall,2022-09-07,13.0,3.0,8.6,13.0,0.1,7.4,5.6,81.9,0.0,0.0,0.0,0.0,0.0,31.0,14.3,192.9,1024.1,90.8,14.7,116.1,10.1,5.0,Overcast
Kyiv,2022-09-08,21.1,7.9,14.3,21.1,7.9,14.3,3.3,50.9,0.0,0.0,0.0,0.0,0.0,24.8,9.7,132.9,1019.4,48.4,24.1,217.9,18.7,7.0,Partially cloudy
Stockholm,2022-09-08,15.7,4.8,10.7,15.7,3.9,10.5,5.6,72.5,0.0,19.0,0.0,0.0,0.0,23.8,9.7,138.8,1024.1,44.3,20.6,143.7,12.4,5.0,Partially cloudy
Malmo,2022-09-08,20.2,14.5,16.9,20.2,14.5,16.9,10.0,65.1,0.5,100.0,16.67,0.0,0.0,60.5,28.4,94.1,1015.0,93.3,20.6,91.8,7.8,5.0,"Rain, Overcast"
Sundsvall,2022-09-08,12.9,6.7,9.9,12.9,6.7,9.9,6.0,77.2,0.0,0.0,0.0,0.0,0.0,23.0,8.6,178.8,1025.3,83.6,20.6,126.6,10.8,5.0,Partially cloudy
Kyiv,2022-09-09,17.5,6.6,12.4,17.5,5.7,12.1,4.6,61.5,2.7,85.7,16.67,0.0,0.0,36.4,14.8,87.8,1022.5,71.8,24.1,146.3,12.6,5.0,"Rain, Partially cloudy"
Malmo,2022-09-09,19.0,13.1,15.7,19.0,13.1,15.7,13.1,85.0,6.1,100.0,58.33,0.0,0.0,46.1,28.0,127.0,1010.3,87.1,17.1,171.3,14.8,6.0,"Rain, Partially cloudy"
Sundsvall,2022-09-09,14.6,3.6,10.1,14.6,3.6,10.1,5.8,76.6,0.0,42.9,0.0,0.0,0.0,28.1,10.8,205.9,1022.9,63.8,20.6,174.5,15.2,5.0,Partially cloudy
Stockholm,2022-09-09,15.6,8.9,12.4,15.6,8.9,12.3,5.3,63.2,0.0,14.3,0.0,0.0,0.0,43.6,19.4,105.4,1021.5,57.1,20.6,187.0,16.2,6.0,Partially cloudy
